uuid,sentence1,sentence2,similarity_score
42962254-4c83-46cb-8e69-eb7e25b8d39a,Reiniger starten,"PDA, Lets send a tweet",0
e4510708-cc6b-4351-92ea-238e06302454,Heute ist Feiertag?,"Das war ein toller Tag, Olly.",0
31cc8395-9a9b-4157-ada4-8a1c75938164,Sag mir die aktuelle Zeit,Können Sie den Kaffee aufbrühen?,0
1eba81ec-b769-467b-a844-5e86eeb40a8d,Börsenkurse,Was kommt auf Nine News?,1
9376e6e4-6faf-4930-803f-bb3f483550fa,Welche Filme werden heute im Kino gezeigt?,Posteingang öffnen,0
a803ff77-f6b5-4854-943d-eeb354090697,Gibt es einen nationalen Feiertag am 5. Dezember?,Ist der 18. ein Montag oder ein Sonntag?,1
b77fc661-c467-4c0c-8e0b-821b5783774f,"Können Sie Mary eine E-Mail schicken und ihr sagen, dass ich unterwegs bin?",Hat Mary heute etwas auf Facebook gepostet?,0
271e2711-950b-4ee6-a157-534b3aa84ec9,Bitte spielen Sie Huey Lewis alle Titel.,Suchen Sie nach allen Titeln für Huey Lewis und spielen Sie.,5
d94c11e0-8eaf-4332-b42c-a720103800a2,Brauche ich heute Abend einen Pullover?,Brauche ich heute einen Pullover?,3
4983ba0c-0ecb-4122-a27f-73d0fd971dd9,"Olly, an welchem Tag in der Woche ist Halloween?",An welchem Tag ist dieses Jahr Halloween?,4
ddd79e65-bbef-43ea-9e6e-d99eda3fa010,Erstellen Sie eine Liste mit monatlich zu kaufenden Lebensmitteln,Füge den Lebensmitteleinkauf zur heutigen To-Do-Liste hinzu.,1
43e38f06-e3fe-4f21-9a12-bf83b04ea1bb,Wie viele Meilen liegt New York City von Los Angeles entfernt?,Wie viel später ist es in New York als in L.A.?,1
92950812-bd18-4d9d-8d25-7b029f47ed1d,Erinnerung für Wäsche um 20 Uhr erstellen,"Erinnere mich daran, die Wäsche nächsten Montag abzuholen",3
833206b9-4087-4bb7-bbcd-ed43a1063dc7,Beginne ein Gespräch mit mir über Musik,Beginne mit Musik.,1
8017ecfa-0bd5-48a9-bc4d-160798550be0,Um drei Uhr Kaffee kochen.,Schalten Sie [Name der Kaffeemaschine] ein,2
50d30328-cf93-44b3-b9bd-ae6d7bca4d50,Starte X auf Radio X.,Spiel X auf Radio X.,4
b7dd4218-f369-42eb-becd-4d3d8b5a017f,wie hoch ist der aktienwert von google,Wie hoch ist der Kurs der Google-Aktie?,4
3a74476d-1894-4d69-8979-f0f6aa59142d,Erinnern Sie mich einen Tag vorher an meinen nächsten Zahnarzttermin?,können Sie mich einen Tag vorher an den nächsten Zahnarzttermin erinnern?,5
23b46f66-b9ee-4773-b50c-326e5f24f971,Erstaunliche Antwort.,fantastische Antwort.,4
aee73ec7-b757-47d8-8fd5-c93f75b37121,Zeigen Sie mir das Neueste aus den Nachrichten.,"Sag mir, was die neuesten Nachrichten sind",4
353c0a30-f959-431a-9b69-1e09b027c24b,"Das ist alles, hör auf.",Was passiert heute in den Weltnachrichten?,0
865d245b-b635-4307-aff0-9019eda679f2,"PDA, was bedeutet das Wort Orange?",Alle Termine löschen,0
3f0090a6-b5ef-4977-a81d-1904eb290991,Ok Google! Schalte bitte die Lautsprecher stumm,"Hörbuch abspielen, wo wir aufgehört haben",0
2de4e8d9-a0b1-403a-9469-40e8c584965f,Ist es Mittag in Paris?,Was sind die neuesten Weltnachrichten?,0
28a012a6-21a7-4b3f-aaff-5bdeb579f3f0,Äpfel von meiner Einkaufsliste löschen,mich um 18:30 Uhr erinnern,0
58b549b8-f2e0-41e1-92a5-54f23e2a66b8,Status der laufenden Züge nach...,Musik starten,0
7790a862-601f-4bff-a85b-92cdfc9d9e37,"Dürfte ich Sie bitten, ein neues Ereignis in meinen Kalender einzutragen?",Wie ist der Stuhl beschaffen?,0
abf9d2ac-30a2-45fd-a1f9-8e2cd7c80231,"PDA können Sie mich daran erinnern, dass ich am Dienstag den Müll rausbringe.","Können Sie mich drei Wochen vor Thanksgiving daran erinnern, den Truthahn zu bestellen?",1
ed2e7081-581d-45e4-90b3-3b2bfba8f785,Wie spät ist es jetzt in Japan im Vergleich zu den USA.,"Gibt es eine Möglichkeit, meinen Kalender für diesen Monat zu leeren?",0
